Age_Group,Gender,Occupation,Income,Shopping_Frequency,Platform,Monthly_Spend,Style,Struggle_Outfits,Occasion_Issue,Body_Fit_Issue,Lack_Inspiration,Budget_Issue,AI_Outfit_Interest,Virtual_TryOn_Interest,Wardrobe_Feature,MixMatch_Feature,AI_Chat,Budget_Feature,Privacy_Comfort,Purchase_Driver,Outfit_Budget,Subscription_Amount,Adoption
22-25,Female,Student,20000-50000,Weekly,Online,1306.4287,Casual,0,0,1,0,0,0,1,0,1,1,1,High,Fit,2376.1173,335.63334,No
22-25,Female,Working Professional,20000-50000,Rarely,Online,7695.734,Formal,1,0,1,0,0,1,1,0,1,1,0,High,Trend,2298.0146,262.68505,Yes
22-25,Male,Student,50000-100000,Weekly,Offline,6381.0593,Casual,1,1,1,1,1,1,1,1,1,1,0,Medium,Trend,2968.449,203.9025,Yes
18-21,Female,Student,20000-50000,Monthly,Offline,3598.6296,Casual,1,0,1,0,0,1,0,1,1,0,1,Medium,Price,4544.9845,597.79038,Yes
26-30,Female,Self-employed,20000-50000,Monthly,Instagram,3190.6083,Casual,1,1,0,1,0,1,1,0,1,0,1,High,Brand,1582.3356,314.43136,Yes
18-21,Female,Working Professional,<20000,Monthly,Offline,6059.2087,Minimal,1,1,0,1,0,1,1,1,1,0,1,High,Trend,1468.8143,358.3413,Yes
30,Female,Working Professional,20000-50000,Monthly,Mixed,7964.9409,Trendy,0,0,0,1,1,1,0,1,1,1,0,High,Price,4427.5598,348.64801,Maybe
26-30,Male,Working Professional,100000,Monthly,Mixed,5907.5205,Minimal,1,1,1,1,0,1,1,1,0,0,1,Low,Fit,1650.7796,178.13724,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Mixed,8343.6053,Trendy,1,1,0,0,1,0,1,1,0,1,1,Medium,Trend,2824.1423,307.62315,Yes
18-21,Female,Working Professional,<20000,2-3 months,Offline,2155.2973,Formal,1,1,0,1,0,1,0,1,1,0,1,Medium,Price,1612.3038,251.6636,Maybe
26-30,Male,Working Professional,20000-50000,2-3 months,Online,2361.2263,Formal,1,1,0,1,0,1,1,1,1,1,1,Medium,Trend,300,248.97786,Yes
26-30,Male,Working Professional,20000-50000,2-3 months,Mixed,1622.1178,Formal,0,0,1,1,0,0,0,1,1,0,1,Medium,Fit,2797.3378,347.54387,No
26-30,Male,Working Professional,<20000,Monthly,Online,4883.5213,Formal,1,0,0,1,0,1,1,0,1,1,0,High,Recommendation,4172.7518,162.65355,Yes
26-30,Female,Working Professional,20000-50000,2-3 months,Online,4351.2071,Formal,1,0,0,1,0,0,1,1,1,1,0,High,Recommendation,2406.9177,119.28174,Yes
18-21,Female,Student,20000-50000,Monthly,Online,3696.0978,Experimental,1,1,1,1,1,1,0,1,1,0,1,High,Fit,300,375.40876,Yes
22-25,Non-binary,Working Professional,20000-50000,Monthly,Online,5618.5173,Minimal,1,1,0,1,0,0,1,1,1,1,1,Low,Fit,2663.6059,220.25841,Maybe
18-21,Male,Student,20000-50000,Monthly,Mixed,6464.6572,Trendy,1,1,0,0,1,0,1,0,1,1,1,Low,Recommendation,1366.0729,248.24764,Yes
30,Female,Working Professional,20000-50000,Monthly,Offline,948.67518,Formal,1,1,1,1,0,0,0,0,0,1,0,Medium,Fit,300,50,No
26-30,Female,Student,100000,Weekly,Offline,2806.0559,Experimental,1,0,1,1,0,1,1,0,1,1,0,High,Fit,2378.6744,444.46242,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Offline,5640.2872,Experimental,1,1,1,0,0,1,1,1,1,0,1,High,Fit,3276.5263,378.60243,Yes
18-21,Male,Working Professional,20000-50000,Weekly,Online,3064.5226,Experimental,0,1,0,1,0,1,1,1,1,1,1,High,Recommendation,4266.5582,406.21032,Yes
22-25,Female,Student,20000-50000,2-3 months,Online,2403.5878,Minimal,1,1,1,0,1,1,0,0,1,1,0,Medium,Recommendation,5135.2821,358.09884,Maybe
22-25,Female,Student,20000-50000,2-3 months,Offline,6037.0749,Formal,1,1,1,0,1,1,1,1,1,1,1,Medium,Trend,3476.4035,72.606457,Yes
26-30,Female,Student,50000-100000,Rarely,Instagram,1420.9999,Experimental,1,1,0,1,1,1,0,0,1,0,0,Low,Recommendation,3900.3511,334.34984,Maybe
26-30,Male,Working Professional,20000-50000,2-3 months,Online,3396.8404,Experimental,1,1,1,1,0,1,1,1,1,0,1,Medium,Trend,573.15182,208.62997,Yes
30,Male,Working Professional,50000-100000,Weekly,Instagram,4657.2881,Formal,1,1,1,1,0,1,1,1,0,1,1,High,Recommendation,4932.7387,155.57143,Yes
22-25,Female,Student,<20000,2-3 months,Online,2852.3602,Minimal,1,1,1,1,1,1,1,0,1,0,1,High,Brand,4401.0403,375.00724,Yes
18-21,Male,Working Professional,20000-50000,2-3 months,Online,5566.3113,Experimental,1,0,1,0,1,1,1,0,1,0,0,High,Trend,1949.3268,548.77634,Yes
26-30,Non-binary,Working Professional,50000-100000,Monthly,Online,2862.246,Trendy,1,1,1,1,0,1,1,0,1,0,1,High,Fit,3522.4902,524.00091,Yes
26-30,Female,Working Professional,20000-50000,Monthly,Online,6817.239,Casual,1,0,1,1,0,1,1,1,0,1,1,Low,Brand,3371.6023,393.32175,Yes
22-25,Female,Self-employed,20000-50000,Rarely,Mixed,3748.5074,Casual,1,1,1,0,1,1,1,1,1,0,0,Medium,Recommendation,4705.3203,295.46578,Yes
26-30,Female,Working Professional,20000-50000,Monthly,Mixed,5342.5403,Casual,1,0,0,1,1,1,1,1,0,1,0,High,Recommendation,2273.3383,267.66865,Yes
22-25,Male,Working Professional,50000-100000,Rarely,Online,5492.0479,Minimal,0,1,1,1,0,1,1,0,1,1,1,High,Brand,1380.651,164.32446,Yes
22-25,Female,Student,<20000,Weekly,Offline,2744.92,Experimental,1,1,0,1,0,1,0,1,0,0,1,Medium,Price,1765.0024,259.54002,Maybe
22-25,Male,Student,100000,Weekly,Instagram,500,Casual,1,0,0,0,1,0,1,0,1,1,0,Medium,Fit,3845.194,436.27859,Maybe
18-21,Male,Student,<20000,Monthly,Online,4721.5115,Casual,1,0,1,1,0,1,1,0,0,1,1,Medium,Trend,300,573.47087,Yes
18-21,Female,Student,100000,Monthly,Online,4144.5767,Formal,1,1,1,1,0,1,1,0,1,0,0,High,Brand,300,177.5278,Yes
18-21,Male,Working Professional,20000-50000,2-3 months,Mixed,5111.6521,Experimental,1,1,0,1,0,1,0,1,1,0,1,Medium,Trend,3841.3735,50,Yes
26-30,Female,Working Professional,50000-100000,Rarely,Offline,3546.9451,Experimental,0,0,0,1,0,1,1,0,1,0,1,High,Recommendation,2912.2082,220.3689,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Mixed,3139.1446,Formal,1,0,0,1,1,0,1,1,1,1,1,Medium,Price,2527.695,435.59312,Yes
22-25,Male,Student,100000,Weekly,Online,8016.946,Experimental,0,1,1,0,0,1,1,0,1,0,1,High,Price,541.68006,610.84159,Yes
30,Male,Student,<20000,2-3 months,Instagram,3165.8756,Trendy,1,1,0,0,1,1,1,1,1,1,0,High,Trend,600,496.50618,Yes
18-21,Female,Working Professional,<20000,2-3 months,Online,5467.901,Minimal,1,0,1,1,0,1,1,1,0,1,1,High,Recommendation,1548.2064,492.79278,Yes
22-25,Male,Self-employed,20000-50000,Weekly,Online,2850.7963,Formal,1,1,1,1,1,0,1,0,0,1,0,High,Price,3042.5426,172.56595,Maybe
26-30,Male,Student,<20000,Monthly,Offline,3328.4428,Casual,1,1,0,1,0,1,0,0,1,1,1,High,Fit,1621.3664,176.79159,Yes
18-21,Female,Working Professional,<20000,2-3 months,Online,3365.7943,Experimental,1,0,0,1,0,1,0,1,1,1,0,Low,Recommendation,3850.1503,101.42855,Yes
18-21,Non-binary,Working Professional,100000,2-3 months,Online,2393.1315,Trendy,1,1,0,1,1,1,1,0,0,0,0,High,Brand,1068.911,200.17804,Yes
22-25,Female,Working Professional,100000,Monthly,Online,5142.4484,Trendy,1,0,1,0,0,1,1,0,1,1,1,Medium,Brand,1720.9824,437.11467,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Online,6781.2872,Minimal,1,0,1,1,0,1,1,1,0,1,1,Medium,Brand,3554.8016,543.67308,Yes
30,Female,Student,100000,Rarely,Instagram,4940.0273,Trendy,1,0,1,1,0,0,1,0,1,1,0,High,Fit,1934.6275,351.82759,Yes
26-30,Male,Student,20000-50000,2-3 months,Online,4206.764,Experimental,1,1,1,1,0,1,0,1,1,1,0,Medium,Recommendation,2008.9751,261.73186,Yes
26-30,Male,Working Professional,20000-50000,Monthly,Online,2027.119,Experimental,1,1,0,1,0,1,1,0,1,0,1,Low,Trend,1534.7673,139.99128,Yes
30,Female,Working Professional,50000-100000,Monthly,Online,5033.6505,Trendy,1,1,0,1,1,1,0,0,1,0,1,High,Trend,1256.5889,283.12273,Yes
26-30,Female,Self-employed,50000-100000,2-3 months,Online,8312.6993,Experimental,1,0,1,1,0,1,1,1,1,1,0,Low,Recommendation,3031.266,330.46895,Yes
18-21,Male,Working Professional,100000,Monthly,Offline,3238.6108,Experimental,0,0,1,1,0,0,1,0,1,1,1,Low,Fit,3225.5594,80.539189,Maybe
30,Female,Student,20000-50000,Weekly,Online,3248.0328,Casual,1,1,1,0,0,0,1,0,1,0,0,Low,Recommendation,2840.7227,438.22094,Yes
22-25,Male,Working Professional,50000-100000,Monthly,Instagram,2877.8217,Formal,1,0,1,0,0,0,1,1,1,1,0,High,Trend,1575.7246,236.4129,Maybe
26-30,Male,Student,<20000,Monthly,Online,3021.1715,Experimental,1,0,0,1,1,1,1,0,1,1,0,Medium,Recommendation,2197.7622,429.21238,Yes
30,Female,Working Professional,<20000,2-3 months,Online,500,Experimental,0,1,0,1,1,1,1,1,1,1,1,Medium,Brand,4893.9022,298.36201,Maybe
22-25,Non-binary,Working Professional,<20000,Weekly,Mixed,4810.0708,Minimal,1,1,1,1,0,1,1,1,1,1,0,High,Recommendation,368.37493,344.5825,Yes
18-21,Female,Self-employed,100000,2-3 months,Instagram,2308.8956,Formal,0,0,1,0,1,1,1,1,1,1,0,Medium,Price,5328.8369,194.70762,Maybe
18-21,Non-binary,Working Professional,50000-100000,Monthly,Online,779.47376,Formal,0,1,0,1,0,1,1,0,1,0,1,Low,Recommendation,2649.5798,248.30771,Maybe
22-25,Male,Working Professional,50000-100000,Weekly,Mixed,5506.3799,Formal,1,0,0,1,0,1,1,1,1,1,1,Low,Trend,2229.8104,396.30632,Yes
26-30,Male,Working Professional,20000-50000,Weekly,Online,1835.9644,Trendy,1,1,0,0,0,1,1,0,1,1,1,High,Trend,3930.0675,280.27526,Yes
30,Female,Self-employed,20000-50000,Rarely,Mixed,9967.9857,Casual,1,1,0,1,0,1,1,0,1,1,0,High,Trend,600,134.2539,Yes
18-21,Male,Student,<20000,2-3 months,Offline,6932.8848,Casual,1,1,1,1,0,0,1,1,1,1,1,High,Brand,4570.4794,316.73611,Yes
22-25,Female,Student,20000-50000,Monthly,Offline,1181.5684,Minimal,1,1,1,0,0,1,1,0,1,0,1,High,Trend,5286.5887,357.85125,Yes
22-25,Female,Student,20000-50000,2-3 months,Mixed,934.80353,Formal,0,0,1,1,0,1,1,0,1,0,0,Medium,Price,4131.9593,505.93328,Maybe
18-21,Female,Student,50000-100000,2-3 months,Online,4538.6124,Formal,0,0,1,0,0,1,1,0,0,1,0,Medium,Recommendation,300,472.88299,Yes
18-21,Female,Working Professional,20000-50000,Rarely,Offline,6298.9747,Experimental,1,0,1,1,1,1,0,1,1,1,1,Medium,Fit,3646.2517,290.30467,Yes
22-25,Female,Working Professional,<20000,Monthly,Online,851.31656,Trendy,0,1,0,0,0,1,1,0,1,0,1,Low,Trend,4968.9978,217.89973,Maybe
30,Male,Working Professional,<20000,2-3 months,Online,4815.3795,Trendy,0,1,1,1,0,1,0,0,1,1,1,High,Recommendation,4814.1232,265.75479,Maybe
22-25,Male,Student,<20000,Weekly,Online,5161.9991,Minimal,1,1,0,1,0,1,1,1,1,1,1,Medium,Brand,387.86613,221.43997,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Online,500,Casual,1,1,1,1,1,1,1,1,1,1,0,Medium,Recommendation,4024.5352,375.92418,Yes
26-30,Male,Working Professional,100000,Rarely,Offline,5597.0027,Formal,1,0,1,1,0,0,1,1,1,1,1,Low,Trend,5193.3556,456.24977,Yes
22-25,Female,Working Professional,50000-100000,Monthly,Offline,5753.2118,Minimal,1,1,0,1,0,1,1,1,0,1,0,Low,Trend,2544.1986,485.97515,Yes
30,Male,Working Professional,50000-100000,Monthly,Offline,3376.4289,Trendy,1,0,1,0,1,1,0,0,1,0,0,Medium,Trend,320.94817,238.16903,Yes
30,Male,Working Professional,20000-50000,Weekly,Online,6504.6927,Trendy,1,0,0,1,1,1,1,0,0,1,1,Low,Price,3742.9789,223.19604,Yes
22-25,Female,Student,20000-50000,2-3 months,Online,6272.9111,Trendy,1,1,0,1,1,1,0,0,1,0,1,Medium,Recommendation,4080.787,236.94084,Yes
22-25,Male,Student,<20000,2-3 months,Mixed,4206.2359,Formal,1,1,0,0,0,1,0,1,1,1,1,Low,Fit,2291.1878,50,Yes
22-25,Female,Working Professional,100000,Monthly,Online,3097.1092,Formal,1,0,1,1,1,0,1,0,1,1,0,Medium,Price,713.91482,119.57815,Yes
22-25,Female,Self-employed,50000-100000,Rarely,Offline,2054.3442,Formal,0,1,1,1,1,1,1,1,0,0,1,High,Fit,3972.8081,294.81705,Maybe
18-21,Male,Working Professional,<20000,Weekly,Instagram,3924.873,Experimental,1,1,0,1,1,1,1,1,0,0,1,Low,Trend,1346.7867,356.89076,Yes
26-30,Female,Student,20000-50000,Monthly,Instagram,5139.5178,Casual,0,0,0,0,1,1,1,0,1,0,1,High,Fit,3096.0201,373.67596,Yes
22-25,Female,Working Professional,20000-50000,Rarely,Offline,3351.6463,Trendy,1,1,1,0,0,1,1,1,0,1,1,Low,Fit,4837.2495,182.92584,Yes
18-21,Female,Working Professional,50000-100000,Monthly,Mixed,500,Trendy,1,0,0,0,1,1,1,0,1,0,0,Medium,Price,300,226.33348,Yes
22-25,Male,Working Professional,100000,Monthly,Online,6537.4278,Experimental,0,0,1,0,0,1,1,1,1,0,0,Medium,Price,3861.646,259.57443,Yes
30,Female,Student,20000-50000,Monthly,Mixed,4380.4464,Trendy,0,0,1,1,0,1,0,1,1,1,1,High,Recommendation,2190.127,242.83112,Maybe
18-21,Female,Student,20000-50000,2-3 months,Online,3240.751,Trendy,1,0,0,1,0,1,1,1,1,0,1,High,Fit,2229.0201,403.20266,Yes
18-21,Male,Working Professional,<20000,Weekly,Online,5714.3168,Formal,1,1,0,0,0,1,1,1,1,1,1,Low,Price,3271.4747,103.77388,Yes
22-25,Male,Working Professional,<20000,Rarely,Online,7049.2772,Formal,1,1,1,0,0,1,1,1,0,1,1,High,Recommendation,1342.924,127.60566,Yes
30,Female,Student,<20000,2-3 months,Instagram,500,Casual,1,0,0,1,1,1,0,1,1,1,0,Low,Fit,737.47129,255.23471,Maybe
18-21,Female,Student,<20000,Weekly,Online,4868.5273,Trendy,1,0,0,1,0,1,1,1,0,0,0,Medium,Fit,300,95.159444,Yes
26-30,Female,Working Professional,50000-100000,2-3 months,Online,3440.1047,Minimal,1,0,0,1,0,1,1,0,0,1,0,Medium,Trend,8695.2881,50,Yes
26-30,Female,Working Professional,50000-100000,Monthly,Online,4998.221,Trendy,0,1,0,0,0,1,1,1,1,1,1,Medium,Price,1942.4917,75.978426,Yes
18-21,Female,Self-employed,<20000,Monthly,Mixed,4255.8544,Trendy,0,0,1,0,0,1,1,1,1,1,0,High,Brand,3354.9106,263.59281,Yes
26-30,Male,Working Professional,50000-100000,2-3 months,Mixed,5271.4531,Casual,1,1,1,1,1,1,1,1,0,1,1,Medium,Price,1772.4519,394.57962,Yes
22-25,Male,Working Professional,<20000,Rarely,Offline,3001.5048,Minimal,1,1,1,1,1,1,1,1,1,1,1,Medium,Trend,757.35924,397.70498,Yes
26-30,Male,Student,20000-50000,Weekly,Offline,500,Trendy,0,1,0,1,0,1,1,1,1,1,0,Low,Recommendation,3478.4689,538.18731,Maybe
26-30,Female,Working Professional,20000-50000,Monthly,Online,3099.2636,Minimal,1,1,0,0,1,0,0,1,0,0,0,Medium,Price,2991.9439,315.24977,Maybe
22-25,Male,Working Professional,20000-50000,Monthly,Online,4813.6953,Formal,1,0,0,1,0,1,1,0,1,1,0,High,Fit,2144.6513,335.43008,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Mixed,6030.7847,Formal,1,1,1,1,1,0,1,1,1,1,0,Low,Brand,2952.8441,262.43894,Yes
26-30,Non-binary,Working Professional,20000-50000,Monthly,Online,1656.3374,Minimal,1,0,0,1,0,0,1,1,0,1,1,Medium,Recommendation,1059.2732,269.72603,Maybe
22-25,Male,Student,20000-50000,Weekly,Online,6054.1209,Trendy,1,0,1,0,1,0,1,0,1,1,1,Medium,Price,4090.8997,612.0818,Yes
18-21,Female,Student,100000,2-3 months,Online,2704.2554,Minimal,0,1,0,1,0,1,0,1,0,0,1,Medium,Recommendation,4438.592,339.20272,No
18-21,Male,Working Professional,<20000,Monthly,Online,4724.8998,Minimal,0,1,1,1,1,1,1,1,0,0,1,Medium,Fit,3638.9569,352.24114,Yes
